text,category
Target groceries 04/13,Food
i bought rent payment $405.85 yesterday,Housing
spent 41.69 on karaoke night,Entertainment
Audible membership,Subscription
Bought Language learning app for $85.77 yesterday,Education
Udemy course Atkinsside,Education
I paid $434.86 at Tutoring session,Education
paid $173.43 for subway sandwich this week,Food
Microsoft 365 03/04,Subscription
donation,Other
i spent 296.48 on icloud storage,Subscription
museum tickets 01/10,Entertainment
had to pay $365.03 for Subway pass,Transport
Spent $324.90 on Maintenance,Housing
had to pay $190.67 for KFC,Food
Spent 470.73 on Gas bill,Utilities
Electronics store 03/21,Shopping
$15.82 for Comedy show,Entertainment
Property tax 04/07,Housing
I bought Museum tickets $214.59,Entertainment
i bought phone bill at&t $124.54,Utilities
concert tickets 01/20,Entertainment
I spent $377.86 on Jewelry purchase,Shopping
paid 432.35 for pizza delivery,Food
Trash collection cost $416.31 today,Utilities
Maintenance Pamelaton,Housing
Doctor copay Burgessburgh,Other
Comedy show TXN-04823513,Entertainment
Home decor Monicaburgh,Shopping
Lyft ride cost $84.35 this morning,Transport
bowling 04/04,Entertainment
$206.59 for Taxi on Monday,Transport
Karaoke night TXN-19523354,Entertainment
spent $173.70 on cell phone bill,Utilities
Trash collection Ortegashire,Utilities
had to pay $6.68 for Jewelry purchase,Shopping
Dry cleaning 01/20,Other
had to pay $106.26 for Gift,Other
I spent 326.58 on Doctor copay on Monday,Other
movie theater,Entertainment
spent 388.05 on mcdonalds YasqEH,Food
movie theater,Entertainment
spent 243.23 on pharmacy prescription yesterday,Healthcare
Home insurance cost $55.94,Housing
water bill 03/15,Utilities
I spent $149.34 on Uber trip,Transport
Cell phone bill cost $258.36 today,Utilities
pizza delivery txn-09030602,Food
Spent 184.74 on Vitamins and supplements,Healthcare
school supplies txn-43318230,Education
Bought Mortgage for $229.65 this morning,Housing
Bus ticket,Transport
purchased car insurance for $70.50,Transport
Spent 250.63 on Spotify premium,Subscription
i paid $377.87 at rent payment,Housing
Haircut cost me 496.76 on 03/05,Other
Apple Music 04/17,Subscription
i paid $182.11 at mortgage yesterday,Housing
had to pay $64.64 for Bus ticket,Transport
Bought Textbook purchase for $174.01 last month,Education
Paid 18.66 for Pharmacy prescription last week,Healthcare
i spent $210.42 on disney+ subscription,Subscription
paid 382.88 for trash collection,Utilities
I paid $42.90 at HOA fees last month,Housing
gas station txn-98795857,Transport
Escape room $5.19 this morning,Entertainment
spent $400.41 on water bill,Utilities
i paid $342.40 at parking ticket,Transport
Google One storage,Subscription
Vitamins and supplements 01/06,Healthcare
I spent $222.44 on Lyft ride,Transport
Pizza delivery 03/12,Food
Doctor copay,Other
i spent 265.33 on cell phone bill,Utilities
Udemy course,Education
Karaoke night cost $352.52,Entertainment
Rent payment TXN-12928989,Housing
Netflix subscription TXN-30186033,Subscription
Pharmacy prescription TXN-82063528,Healthcare
Bought Audible membership for $206.87 on 03/25,Subscription
Bought Trash collection for $352.02,Utilities
I spent 410.23 on Donation today,Other
I spent 224.62 on Physical therapy,Healthcare
Bought Bowling for $106.43 on Monday,Entertainment
Spent 23.43 on Apartment rent,Housing
Starbucks $388.12 today,Food
Bought Lunch at work for $391.43,Food
purchased Lyft ride for $357.29 today,Transport
taxi cost $360.69 on 01/05,Transport
lunch at work 03/01,Food
bought disney+ subscription for $349.06 this week,Subscription
Escape room Port Laurieberg,Entertainment
school supplies $191.03,Education
purchased Electronics store for $135.01 this week,Shopping
Dining at Olive Garden South Aaronberg,Food
charged $222.90 to internet service,Utilities
i spent $369.14 on movie theater,Entertainment
Parking ticket,Transport
Doctor visit,Healthcare
Bus ticket avRXdl,Transport
purchased taxi for $22.67,Transport
Charged $436.10 to Karaoke night,Entertainment
I spent $145.43 on Taxi PZQCGm,Transport
Paid $23.19 for Gas station,Transport
I paid $349.28 at Subway pass yesterday,Transport
spent 135.74 on internet service,Utilities
Paid $177.23 for Walmart groceries,Food
dry cleaning txn-80540809,Other
Urgent care visit Colleenport,Healthcare
I spent 384.90 on Taxi today,Transport
Bought Bus ticket for $321.40 this week,Transport
Udemy course,Education
microsoft 365,Subscription
i paid $231.96 at doctor visit,Healthcare
I bought Movie theater $202.33,Entertainment
internet service,Utilities
Electric bill TXN-90869570,Utilities
lab tests cost me 35.48,Healthcare
Bought Property tax for $311.76 last week,Housing
Kitchen supplies,Shopping
HOA fees TXN-34205754,Housing
Theme park TXN-35410157,Entertainment
Uber trip West Dalton,Transport
Taxi,Transport
electronics store jacquelinechester,Shopping
udemy course txn-49514520,Education
Museum tickets 02/21,Entertainment
taxi,Transport
Department store 02/14,Shopping
language learning app dorothyberg,Education
Escape room 01/06,Entertainment
Pharmacy Smithborough,Other
I paid $478.46 at Taxi,Transport
$491.21 for Book purchase,Other
I bought Furniture store $426.56 on Monday,Shopping
coffee shop txn-71767819,Food
$68.81 for Movie theater,Entertainment
Water bill $261.64,Utilities
$129.71 for hulu subscription last week,Subscription
$360.76 for Home insurance,Housing
Amazon purchase cost $362.86,Shopping
Concert tickets East Richardburgh,Entertainment
Online course TXN-23696570,Education
Dry cleaning cost me 131.48,Other
$43.43 for udemy course,Education
bus ticket lake joshua,Transport
Whole Foods Sheliafort,Food
Escape room Cruzside,Entertainment
udemy course matthewsmouth,Education
Haircut,Other
Phone bill AT&T TXN-79916660,Utilities
Electronics store TXN-52510328,Shopping
had to pay $60.65 for Health insurance premium on 04/15,Healthcare
bought coffee shop for $300.83,Food
Spent 344.59 on Book purchase yesterday,Other
Concert tickets West Jennifer,Entertainment
book purchase smithside,Other
House payment 01/26,Housing
I bought Vitamins and supplements $309.23,Healthcare
Gas bill 03/21,Utilities
Furniture store TXN-64921853,Shopping
i bought gas station $214.64,Transport
Doctor copay cost me 196.40,Other
I bought Gift $71.90,Other
Spotify premium North Lauren,Subscription
I spent 84.78 on Oil change,Transport
Spent 180.26 on Clothing store,Shopping
Kitchen supplies $142.00,Shopping
Bought Bus ticket for $390.82,Transport
Bought Pizza delivery for $230.10,Food
Trash collection $146.69,Utilities
Trash collection New Teresaview,Utilities
Pet food cost me 205.97 last month,Other
I paid $453.54 at Costco groceries today,Food
purchased uber trip for $264.34,Transport
Spent 180.98 on Starbucks,Food
Spent $172.27 on Donation,Other
i spent $472.96 on rent payment,Housing
bought electric bill for $435.23,Utilities
book purchase lunaland,Other
i spent $217.19 on doctor visit this week,Healthcare
Charged $106.92 to Audible membership,Subscription
had to pay $48.22 for Amazon Prime,Subscription
had to pay $46.30 for Online course,Education
Health insurance premium TXN-94679854,Healthcare
Museum tickets,Entertainment
Bought Phone bill AT&T for $194.01,Utilities
Theme park $143.57,Entertainment
I spent 278.21 on Eye exam this morning,Healthcare
Dining at Olive Garden Thomasborough,Food
Car repair New Victoriatown,Transport
Doctor copay 04/14,Other
paid 42.22 for dental checkup,Healthcare
Amazon Prime 03/23,Subscription
Certification exam TXN-75891794,Education
Paid 274.37 for Certification exam,Education
I paid $39.38 at Haircut,Other
I paid $424.06 at Taxi,Transport
spent 178.72 on target groceries,Food
Mortgage TXN-68691172,Housing
Spent 35.06 on Physical therapy,Healthcare
Spent $87.16 on Disney+ subscription,Subscription
Paid $312.33 for Gift last week,Other
Disney+ subscription $170.32,Subscription
udemy course,Education
shoes purchase $280.40 this week,Shopping
purchased Microsoft 365 for $118.72,Subscription
Paid 308.63 for Trash collection,Utilities
i bought maintenance $477.80,Housing
doctor copay txn-92942295,Other
house payment $372.82 this week,Housing
Bought Lyft ride for $326.28,Transport
Paid 409.74 for Museum tickets,Entertainment
Spent 470.75 on Phone bill AT&T,Utilities
Paid 283.55 for Dry cleaning last week,Other
Starbucks 02/16 dJsLZt,Food
I spent 319.92 on Subway sandwich,Food
spent $303.69 on comedy show,Entertainment
I spent $42.91 on House payment,Housing
Tuition payment 02/16,Education
purchased Phone bill AT&T for $256.40 on Monday,Utilities
I spent $303.77 on Costco groceries on 03/04,Food
Paid 461.41 for Rent payment,Housing
purchased Doctor copay for $468.63,Other
Haircut cost $314.97,Other
I spent 41.79 on Microsoft 365 yesterday,Subscription
had to pay $294.83 for Shoes purchase,Shopping
Charged $300.08 to Doctor visit,Healthcare
Phone bill AT&T TXN-37344337,Utilities
Car repair TXN-79826990,Transport
Textbook purchase Ianfurt,Education
Costco groceries TXN-39831071,Food
Language learning app cost me 246.81 this week,Education
Dry cleaning TXN-11280187,Other
i spent $179.28 on subway sandwich,Food
apple music ramosborough,Subscription
Paid 356.72 for Target groceries,Food
spent $403.81 on eye exam,Healthcare
Vitamins and supplements South Christopher,Healthcare
i paid $141.59 at physical therapy,Healthcare
I paid $362.91 at Home decor,Shopping
dry cleaning txn-43874781,Other
Tutoring session TXN-85011472,Education
Pharmacy prescription 01/26,Healthcare
Electronics store 02/13,Shopping
Target groceries cost $128.27,Food
textbook purchase cyeQlJ,Education
Online shopping order $145.93,Shopping
Paid $123.32 for Cell phone bill this week,Utilities
had to pay $255.30 for Movie theater,Entertainment
Paid 219.33 for Movie theater,Entertainment
i paid $29.44 at pharmacy last week,Other
I spent 18.66 on Theme park,Entertainment
Spent 287.65 on Bowling yesterday,Entertainment
i spent $497.05 on donation,Other
purchased electric bill for $457.68 yesterday,Utilities
Paid $421.29 for Property tax,Housing
i paid $461.20 at pharmacy on monday,Other
purchased Language learning app for $404.31,Education
I spent $213.54 on Doctor copay,Other
hbo max txn-59791645,Subscription
walmart groceries blanchardstad,Food
I paid $429.87 at Uber trip,Transport
Charged $50.31 to Jewelry purchase,Shopping
had to pay $6.06 for electric bill yesterday,Utilities
I spent 303.42 on Electronics store,Shopping
Theme park,Entertainment
Certification exam Hoffmanmouth,Education
subway sandwich cost me 8.78,Food
paid 383.66 for online shopping order,Shopping
i spent 420.02 on phone bill at&t on monday,Utilities
Audible membership cost $207.47 yesterday,Subscription
Zoo visit TXN-38593680,Entertainment
I spent $496.08 on Comedy show,Entertainment
I bought Apartment rent $106.62,Housing
charged $257.26 to jewelry purchase,Shopping
purchased lunch at work for $264.64,Food
Spent $362.04 on Uber trip,Transport
Donation 01/28,Other
purchased Online course for $489.60,Education
Udemy course 03/18,Education
Lab tests,Healthcare
purchased coursera subscription for $215.30,Education
Online shopping order 04/02 Txcrtd,Shopping
$124.85 for Pizza delivery,Food
Movie theater $202.42,Entertainment
spent $370.08 on youtube premium,Subscription
bought pharmacy for $45.44,Other
Bought Pharmacy prescription for $217.32 this week,Healthcare
Lab tests,Healthcare
Paid $50.01 for Gas bill,Utilities
Mortgage West Stephanie,Housing
movie theater 04/15,Entertainment
purchased Dining at Olive Garden for $381.31,Food
I spent $194.10 on Pet food fupHsn,Other
Karaoke night TXN-44974831,Entertainment
Comedy show cost me 239.91,Entertainment
walmart groceries txn-51282257,Food
I bought Water bill $456.27,Utilities
Spent $19.04 on Subway pass,Transport
kfc,Food
Gas bill Wendytown,Utilities
$185.94 for gift,Other
uber trip 04/06,Transport
Charged $153.18 to Lyft ride,Transport
dental checkup 02/03,Healthcare
Donation cost $452.67,Other
$18.12 for Online shopping order on Monday,Shopping
kfc,Food
I spent $305.77 on Online course,Education
Paid 105.01 for Arcade games last week,Entertainment
Subway sandwich,Food
I paid $212.39 at Online shopping order,Shopping
hoa fees,Housing
Movie theater 01/08,Entertainment
Spent 209.63 on Water bill on 01/26,Utilities
furniture store 02/18,Shopping
spent 48.03 on gas bill,Utilities
$465.01 for tuition payment,Education
Google One storage 01/18,Subscription
Dental checkup,Healthcare
I bought Electronics store $31.13,Shopping
Apartment rent cost $90.09 this morning,Housing
Cell phone bill TXN-45051715,Utilities
Electronics store TXN-25485813,Shopping
Theme park TXN-61684270,Entertainment
HOA fees,Housing
purchased Arcade games for $293.06 yesterday,Entertainment
I paid $98.67 at Workshop fee last month,Education
Pizza delivery $100.88,Food
I spent 303.70 on Trash collection,Utilities
i bought theme park $169.32,Entertainment
Car repair,Transport
Paid $158.57 for Zoo visit,Entertainment
School supplies TXN-26376684,Education
Taxi TXN-05151271,Transport
Apartment rent 01/28,Housing
theme park,Entertainment
Apartment rent,Housing
had to pay $495.54 for School supplies,Education
Gas bill cost me 263.70 WfSABa,Utilities
online course,Education
I spent 90.39 on Maintenance this week,Housing
purchased Lyft ride for $355.53,Transport
Parking ticket Richardfurt,Transport
$388.89 for Shoes purchase,Shopping
Clothing store cost me 170.72,Shopping
Udemy course,Education
$119.39 for Electric bill,Utilities
Kitchen supplies TXN-62565530,Shopping
I bought Electronics store $193.80,Shopping
Health insurance premium $251.43 this morning,Healthcare
Spent $217.63 on HBO Max on Monday,Subscription
pizza delivery cunninghammouth,Food
Eye exam TXN-77654670,Healthcare
Doctor copay,Other
i paid $421.45 at home decor,Shopping
Paid 427.21 for Car repair,Transport
Pet food cost $135.45,Other
Restaurant dinner,Food
Spent $458.59 on Udemy course this week,Education
I spent $25.44 on Bus ticket,Transport
Coffee shop,Food
Therapy session TXN-35546719,Healthcare
property tax 04/20,Housing
paid $325.42 for starbucks yesterday EdJLDz,Food
starbucks txn-30087484,Food
Spent 300.44 on Rent payment on Monday,Housing
Electronics store TXN-29417339,Shopping
purchased Workshop fee for $419.66,Education
electronics store txn-10298800,Shopping
paid $236.16 for donation,Other
trash collection txn-73594086,Utilities
spotify premium 03/14,Subscription
Internet service TXN-72044483,Utilities
Paid $407.89 for Coffee shop,Food
Bowling 04/21 dhzYgY,Entertainment
Bought Apartment rent for $328.26,Housing
Bought Escape room for $350.77 yesterday,Entertainment
Apartment rent,Housing
I spent 168.45 on Workshop fee on 01/02 YXlNVv,Education
Online course,Education
Paid $476.28 for Health insurance premium,Healthcare
Google One storage cost me 419.78,Subscription
Cell phone bill cost $46.29 last week,Utilities
had to pay $392.23 for textbook purchase this week,Education
paid $460.70 for pet food,Other
Book purchase,Other
Disney+ subscription cost $9.40,Subscription
property tax txn-14589997,Housing
Comedy show,Entertainment
Textbook purchase cost $345.84,Education
Water bill,Utilities
charged $97.12 to google one storage,Subscription
Lunch at work cost me 385.10,Food
spent $428.70 on lunch at work,Food
i spent $48.93 on parking ticket,Transport
Uber trip Campbellbury,Transport
$142.47 for Furniture store,Shopping
Internet service TXN-39284709,Utilities
Heating bill cost me 105.21,Utilities
spent $490.21 on certification exam,Education
Apple Music,Subscription
workshop fee kevintown,Education
House payment 02/27,Housing
i spent $373.01 on phone bill at&t,Utilities
charged $355.31 to phone bill at&t,Utilities
hoa fees cost $495.70,Housing
I spent $154.36 on Gym membership on 01/31,Subscription
had to pay $351.60 for Health insurance premium,Healthcare
Book purchase,Other
Book purchase East Heather,Other
Charged $418.41 to KFC,Food
udemy course 02/12,Education
kitchen supplies txn-38200847,Shopping
Electric bill cost $472.11,Utilities
Uber trip TXN-95833453,Transport
adobe creative cloud 04/06,Subscription
Vitamins and supplements Jeffreyport,Healthcare
Subway pass 03/22,Transport
museum tickets txn-83485800,Entertainment
Lunch at work cost me 101.94,Food
KFC TXN-18851564,Food
I bought Phone bill AT&T $433.72 this week,Utilities
Jewelry purchase 01/08,Shopping
I spent 405.42 on Rent payment,Housing
Rent payment,Housing
Gas station East Rachel,Transport
I spent 147.38 on Rent payment,Housing
Spent 300.04 on School supplies,Education
property tax,Housing
Phone bill AT&T $182.29,Utilities
workshop fee $289.11,Education
Charged $291.03 to Shoes purchase,Shopping
Heating bill,Utilities
purchased language learning app for $446.02,Education
I spent 349.23 on Pet food,Other
icloud storage cost me 225.45,Subscription
Tuition payment cost me 268.12,Education
comedy show cost $139.19,Entertainment
internet service txn-03412862,Utilities
certification exam 02/25,Education
had to pay $89.18 for Zoo visit,Entertainment
I paid $350.97 at Oil change,Transport
i bought netflix subscription $468.83,Subscription
Charged $235.76 to Amazon Prime,Subscription
subway sandwich,Food
Amazon purchase 03/09,Shopping
Bowling,Entertainment
Charged $325.94 to Department store,Shopping
oil change txn-05330867,Transport
restaurant dinner 02/15,Food
Bought Health insurance premium for $270.98 yesterday,Healthcare
Parking ticket 03/16,Transport
Spent 466.11 on Gas bill ZnYEqQ,Utilities
Gym membership cost $43.99 this week,Subscription
$448.23 for Workshop fee,Education
charged $198.50 to tutoring session,Education
Zoo visit Vaughnville,Entertainment
charged $117.55 to arcade games,Entertainment
Furniture store $397.27,Shopping
I paid $244.13 at Electric bill,Utilities
dry cleaning 01/13,Other
Certification exam TXN-39670298,Education
parking ticket txn-87499995,Transport
workshop fee txn-74243570,Education
Bought Dry cleaning for $7.89,Other
Walmart groceries 03/15,Food
I spent $381.17 on Taxi,Transport
Udemy course cost me 184.85,Education
Doctor copay,Other
i bought doctor copay $330.92 pnExPL,Other
i spent $25.77 on electric bill this morning,Utilities
Maintenance,Housing
Pharmacy Lake Patty,Other
Doctor copay Lake Briana,Other
Spent $216.00 on Bus ticket,Transport
pharmacy 03/22,Other
I spent 479.39 on Pharmacy prescription AaABAF,Healthcare
had to pay $79.16 for school supplies this morning,Education
$449.16 for car insurance,Transport
Bought Apple Music for $118.37,Subscription
coursera subscription,Education
rent payment,Housing
Electric bill Ryanfort,Utilities
Phone bill AT&T rXVIhE,Utilities
Disney+ subscription 03/16,Subscription
Tuition payment TXN-50956821,Education
Book purchase $330.49,Other
i bought dry cleaning $452.12,Other
I spent 216.02 on Phone bill AT&T,Utilities
$410.76 for Doctor copay on 04/16,Other
Pharmacy cost $427.84,Other
Paid 355.11 for Cell phone bill on 03/09,Utilities
Paid 54.42 for Bowling,Entertainment
Google One storage cost me 70.79,Subscription
Gas station,Transport
I bought Mortgage $216.09,Housing
had to pay $381.40 for bus ticket,Transport
Car insurance cost me 103.35,Transport
purchased Pizza delivery for $164.70,Food
Heating bill Mckinneyborough,Utilities
I bought Urgent care visit $428.28,Healthcare
paid 306.60 for target groceries last month,Food
HBO Max TXN-79486651,Subscription
subway pass 01/19,Transport
$414.55 for Concert tickets,Entertainment
Spent 139.39 on Online course,Education
$147.08 for Online course,Education
Google One storage,Subscription
had to pay $471.40 for Furniture store,Shopping
Lab tests $102.74,Healthcare
purchased Online course for $92.18,Education
i bought property tax $307.68,Housing
Charged $432.76 to Car insurance,Transport
Paid $181.68 for Mortgage,Housing
Zoo visit 03/17,Entertainment
Paid 226.69 for Therapy session,Healthcare
Home decor Port Tina,Shopping
Pet food cost $162.25,Other
Paid $452.44 for Concert tickets last month,Entertainment
HOA fees cost me 103.87,Housing
Tuition payment TXN-12980888,Education
I bought Udemy course $268.46 today,Education
parking ticket 01/25,Transport
Dining at Olive Garden TXN-59420255,Food
Microsoft 365 South Robertview,Subscription
had to pay $352.73 for Phone bill AT&T on Monday,Utilities
Dry cleaning TXN-00082648,Other
$349.98 for Amazon purchase,Shopping
purchased furniture store for $110.33,Shopping
Restaurant dinner,Food
Urgent care visit $246.11,Healthcare
Bought Coursera subscription for $62.89 this morning,Education
Charged $168.89 to Therapy session,Healthcare
I bought Pet food $492.40,Other
Netflix subscription 01/26,Subscription
Spent 476.29 on Arcade games on 04/13,Entertainment
Doctor copay 01/26,Other
I spent 116.83 on Vitamins and supplements,Healthcare
Charged $173.59 to House payment,Housing
i paid $138.07 at audible membership this week,Subscription
bus ticket txn-72646076,Transport
Department store,Shopping
i bought pharmacy $181.45,Other
Donation $213.47,Other
hulu subscription terrichester,Subscription
spent 47.93 on water bill,Utilities
Online shopping order Martinezburgh,Shopping
purchased school supplies for $460.78,Education
HBO Max cost $141.49 this week,Subscription
I paid $56.57 at Physical therapy,Healthcare
I spent 27.15 on Cell phone bill last month,Utilities
hbo max $102.38,Subscription
Bought Lunch at work for $92.36 today,Food
lab tests cost me 189.79,Healthcare
I bought Property tax $350.93,Housing
Language learning app,Education
purchased Haircut for $102.38,Other
tutoring session txn-38143809,Education
Textbook purchase 04/17,Education
i spent $281.91 on jewelry purchase,Shopping
Bowling TXN-71985480,Entertainment
Water bill 01/21,Utilities
Gas bill $420.07,Utilities
Book purchase 01/04,Other
I spent 58.66 on Clothing store NHuSjW,Shopping
had to pay $51.90 for target groceries this morning,Food
car repair,Transport
Concert tickets TXN-14849831,Entertainment
phone bill at&t hutchinsonside,Utilities
i paid $297.21 at icloud storage,Subscription
Tuition payment 01/22,Education
Phone bill AT&T 02/18,Utilities
Doctor copay cost $157.41,Other
property tax,Housing
Paid 437.59 for Rent payment this morning,Housing
charged $64.67 to theme park this morning,Entertainment
I bought Kitchen supplies $340.78,Shopping
I paid $37.67 at Apartment rent,Housing
mortgage 02/04,Housing
had to pay $113.14 for Concert tickets on Monday,Entertainment
Theme park cost $476.00 yesterday,Entertainment
i spent 498.54 on house payment on monday,Housing
Arcade games Haleyland,Entertainment
Spent $191.35 on McDonalds,Food
Donation,Other
Paid 201.62 for Therapy session this week,Healthcare
$381.45 for health insurance premium last month sSBcqx,Healthcare
I paid $389.94 at Textbook purchase,Education
Phone bill AT&T,Utilities
movie theater 04/05,Entertainment
Arcade games,Entertainment
Paid 139.64 for Pharmacy prescription,Healthcare
spent $230.03 on udemy course,Education
I spent $133.69 on Museum tickets this week,Entertainment
Physical therapy cost $361.31,Healthcare
School supplies,Education
Health insurance premium Mitchellborough,Healthcare
I spent 314.13 on Rent payment last week,Housing
Doctor copay cost me 16.71,Other
paid 429.33 for house payment,Housing
Textbook purchase 03/26,Education
i bought heating bill $122.06,Utilities
Spent $419.00 on Internet service yesterday,Utilities
Subway pass TXN-22040886,Transport
purchased Cell phone bill for $105.58 on Monday,Utilities
Spent 338.67 on Department store,Shopping
Donation cost me 88.02,Other
walmart groceries new kristy,Food
Charged $409.46 to Subway pass,Transport
Charged $112.11 to Workshop fee,Education
I spent 470.87 on Oil change on Monday,Transport
spent 393.97 on kitchen supplies,Shopping
Spent $45.29 on Whole Foods,Food
HOA fees TXN-48388351,Housing
Restaurant dinner 02/26,Food
Home decor South Beverly,Shopping
I paid $474.61 at Pet food,Other
Bought Maintenance for $98.72,Housing
karaoke night 01/09,Entertainment
kitchen supplies north brian,Shopping
pharmacy new donnaborough,Other
donation west daniel,Other
I paid $150.01 at Book purchase,Other
Comedy show 01/23,Entertainment
Trash collection 03/22,Utilities
subway sandwich $346.36 yesterday,Food
Charged $70.09 to YouTube Premium,Subscription
Furniture store New Bradley,Shopping
Bought Google One storage for $151.88,Subscription
had to pay $85.22 for oil change,Transport
purchased google one storage for $303.06,Subscription
comedy show $85.34 last month,Entertainment
Disney+ subscription cost me 368.16,Subscription
Apartment rent TXN-88277622,Housing
Kitchen supplies 04/03,Shopping
bus ticket cost me 312.66,Transport
Heating bill cost me 382.63 this morning,Utilities
Department store cost $347.59,Shopping
tutoring session 03/10,Education
Lunch at work cost $286.56,Food
Donation Douglasmouth,Other
microsoft 365 txn-93205146,Subscription
Spent $246.79 on Pharmacy prescription,Healthcare
Zoo visit TXN-29800599,Entertainment
bought heating bill for $8.48,Utilities
Tutoring session 01/21,Education
Karaoke night TXN-99654238 LuVAGv,Entertainment
charged $461.54 to online shopping order,Shopping
concert tickets bartonberg,Entertainment
comedy show cost $322.28 on monday,Entertainment
I spent $365.97 on Museum tickets,Entertainment
phone bill at&t 01/01,Utilities
Bought Theme park for $489.14 this morning,Entertainment
spent $89.26 on arcade games on monday,Entertainment
Spent 313.69 on Maintenance last month,Housing
House payment East Destiny,Housing
Bought Urgent care visit for $18.96,Healthcare
I bought Rent payment $298.49,Housing
i paid $38.16 at hoa fees,Housing
i spent $68.08 on book purchase,Other
Paid 446.79 for Electric bill,Utilities
spent 404.47 on lab tests yesterday,Healthcare
Mortgage,Housing
Spent 275.25 on Kitchen supplies,Shopping
I paid $152.17 at Home decor,Shopping
Doctor copay cost $252.47,Other
had to pay $87.46 for Museum tickets,Entertainment
Paid 121.73 for Pharmacy,Other
Electric bill,Utilities
Doctor copay East Anthonyhaven,Other
Paid $202.96 for Hulu subscription,Subscription
spent $107.07 on furniture store,Shopping
Parking ticket Lake Angelabury,Transport
Taxi TXN-66576419,Transport
Bowling cost $86.64,Entertainment
doctor copay 02/07,Other
Online shopping order,Shopping
purchased Amazon purchase for $272.47,Shopping
Museum tickets,Entertainment
i paid $10.40 at home decor,Shopping
Tutoring session 03/22,Education
$373.29 for zoo visit,Entertainment
Health insurance premium TXN-37865986,Healthcare
Therapy session TXN-06924126,Healthcare
Gas station Rhondaburgh,Transport
i bought hoa fees $482.99,Housing
purchased doctor copay for $245.97 last week,Other
Doctor copay,Other
subway pass txn-38560842,Transport
Rent payment,Housing
Tutoring session 04/17,Education
Paid 470.25 for Book purchase,Other
textbook purchase txn-17422734,Education
i spent 321.98 on kitchen supplies,Shopping
Coffee shop TXN-73886143,Food
starbucks,Food
I bought Haircut $78.02,Other
Language learning app,Education
karaoke night txn-71396422,Entertainment
I bought Language learning app $265.74,Education
I spent 285.36 on Udemy course,Education
I spent $66.06 on Phone bill AT&T this morning,Utilities
I spent 357.39 on Taxi,Transport
pizza delivery $379.14,Food
Donation 02/19,Other
Spent 49.31 on Dental checkup yesterday qrnnuw,Healthcare
Spent 308.68 on Urgent care visit,Healthcare
i paid $329.44 at maintenance,Housing
$93.32 for Museum tickets last week,Entertainment
paid $411.16 for movie theater,Entertainment
I spent 145.96 on Uber trip last month,Transport
Pet food TXN-56913514,Other
had to pay $248.56 for walmart groceries,Food
Bowling $100.04,Entertainment
Pet food,Other
I spent $145.39 on Online shopping order last month,Shopping
Charged $435.61 to Bus ticket,Transport
had to pay $479.76 for Therapy session,Healthcare
department store cost me 341.00,Shopping
purchased Coursera subscription for $436.76 on Monday,Education
Spent 361.10 on Subway sandwich last week,Food
Whole Foods TXN-21947360,Food
paid 358.15 for bus ticket,Transport
McDonalds TXN-06511203,Food
phone bill at&t sandovalberg,Utilities
Gym membership TXN-41392539,Subscription
Paid 463.13 for Comedy show this morning,Entertainment
Comedy show TXN-61784956 MdVwnm,Entertainment
I bought Pet food $43.85,Other
Charged $91.66 to Amazon purchase,Shopping
Movie theater TXN-13322199,Entertainment
Certification exam TXN-40448824,Education
charged $100.52 to phone bill at&t,Utilities
I spent 202.05 on Electronics store,Shopping
Pizza delivery Gabriellefurt,Food
KFC TXN-99957230,Food
spent 328.20 on dental checkup on 01/05,Healthcare
Car insurance TXN-00400329,Transport
Google One storage 01/03,Subscription
Health insurance premium,Healthcare
I paid $388.53 at Rent payment,Housing
bought doctor visit for $497.47,Healthcare
i bought car insurance $341.85,Transport
I paid $69.22 at Online shopping order,Shopping
Paid 231.02 for Apple Music,Subscription
Paid 483.77 for YouTube Premium,Subscription
Escape room 02/19,Entertainment
Dry cleaning,Other
bought phone bill at&t for $380.67,Utilities
Cell phone bill,Utilities
I paid $100.49 at Apartment rent,Housing
Escape room cost $471.57,Entertainment
Spent $167.03 on Tutoring session,Education
PlayStation Plus 03/16,Subscription
Bought Bus ticket for $383.99,Transport
Property tax,Housing
Spent $250.95 on Comedy show on Monday,Entertainment
pharmacy cost $82.71,Other
paid 68.67 for amazon prime on 04/17,Subscription
trash collection txn-79043366,Utilities
Charged $425.55 to Jewelry purchase,Shopping
Google One storage 02/28,Subscription
gas bill txn-87230871,Utilities
Adobe Creative Cloud pMixCA,Subscription
purchased Restaurant dinner for $38.36 last month,Food
paid $307.66 for electronics store,Shopping
had to pay $214.74 for pharmacy this week,Other
mortgage lake heather,Housing
HOA fees sIWGTp,Housing
purchased Restaurant dinner for $474.57 on 04/04,Food
had to pay $159.59 for electronics store,Shopping
subway sandwich 03/29,Food
Bought Walmart groceries for $245.65,Food
had to pay $23.79 for PlayStation Plus,Subscription
Dry cleaning TXN-20546717,Other
$277.94 for Concert tickets,Entertainment
textbook purchase txn-13550868,Education
home insurance,Housing
had to pay $363.47 for Phone bill AT&T,Utilities
Paid 134.41 for Subway sandwich today,Food
pizza delivery brownbury,Food
Paid 268.89 for Lyft ride,Transport
Gift TXN-99419332,Other
Charged $21.52 to Clothing store,Shopping
spent 474.33 on health insurance premium,Healthcare
Uber trip,Transport
Charged $263.85 to Electric bill,Utilities
